Start,End,Country
004000,0043ff,Zimbabwe
006000,006fff,Mozambique
008000,00ffff,South Africa
010000,017fff,Egypt
018000,01ffff,Libyan Arab Jamahiriya
020000,027fff,Morocco
028000,02ffff,Tunisia
030000,0303ff,Botswana
032000,032fff,Burundi
034000,034fff,Cameroon
035000,0353ff,Comoros
036000,036fff,Congo
038000,038fff,Cote d'Ivoire
03e000,03efff,Gabon
040000,040fff,Ethiopia
042000,042fff,Equatorial Guinea
044000,044fff,Ghana
046000,046fff,Guinea
048000,0483ff,Guinea-Bissau
04a000,04a3ff,Lesotho
04c000,04cfff,Kenya
050000,050fff,Liberia
054000,054fff,Madagascar
058000,058fff,Malawi
05a000,05a3ff,Maldives
05c000,05cfff,Mali
05e000,05e3ff,Mauritania
060000,0603ff,Mauritius
062000,062fff,Niger
064000,064fff,Nigeria
068000,068fff,Uganda
06a000,06a3ff,Qatar
06c000,06cfff,Central African Republic
06e000,06efff,Rwanda
070000,070fff,Senegal
074000,0743ff,Seychelles
076000,0763ff,Sierra Leone
078000,078fff,Somalia
07a000,07a3ff,Swaziland
07c000,07cfff,Sudan
080000,080fff,Tanzania
084000,084fff,Chad
088000,088fff,Togo
08a000,08afff,Zambia
08c000,08cfff,DR Congo
090000,090fff,Angola
094000,0943ff,Benin
096000,0963ff,Cape Verde
098000,0983ff,Djibouti
09a000,09afff,Gambia
09c000,09cfff,Burkina Faso
09e000,09e3ff,Sao Tome and Principe
0a0000,0a7fff,Algeria
0a8000,0a8fff,Bahamas
0aa000,0aa3ff,Barbados
0ab000,0ab3ff,Belize
0ac000,0acfff,Colombia
0ae000,0aefff,Costa Rica
0b0000,0b0fff,Cuba
0b2000,0b2fff,El Salvador
0b4000,0b4fff,Guatemala
0b6000,0b6fff,Guyana
0b8000,0b8fff,Haiti
0ba000,0bafff,Honduras
0bc000,0bc3ff,Saint Vincent and the Grenadines
0be000,0befff,Jamaica
0c0000,0c0fff,Nicaragua
0c2000,0c2fff,Panama
0c4000,0c4fff,Dominican Republic
0c6000,0c6fff,Trinidad and Tobago
0c8000,0c8fff,Suriname
0ca000,0ca3ff,Antigua and Barbuda
0cc000,0cc3ff,Grenada
0d0000,0d7fff,Mexico
